mz	intensity	ms runs	percentage	theoretical m/z	delta PPM	primary identification	other identifications
298.15111	45.8	6/85	1.5%	298.15098	-0.44	y(AAH)	['a(HST)', 'a(NNP)', 'a(ADR)-NH3', 'b(ARS)-NH3', 'y(ARS)-H2O-NH3', 'a(EGR)-NH3', 'b(GRT)-NH3', 'y(GRT)-H2O-NH3', 'a(NQT)-H2O', 'a(QQS)-H2O']
298.15512	23.3	5/85	1.0%	298.155	-0.4	b(KW)-NH3	['y(KW)-H2O-NH3', 'b(AFP)-H2O', 'a(FNV)-H2O-NH3', 'b(FGK)-H2O-NH3', 'a(GVW)-NH3']
298.13983	218.9	1/85	7.3%	?	?	?	?
298.1593	25.1	1/85	0.8%	298.15908	-0.74	b(APQ)+i	['b(ADK)-H2O+i', 'b(AKN)-NH3+i', 'y(AKN)-H2O-NH3+i', 'y(APQ)-H2O+i', 'a(DIN)-H2O+i', 'a(DLN)-H2O+i', 'a(DQV)-H2O+i', 'a(ENV)-H2O+i', 'b(EGK)-H2O+i', 'b(GKQ)-NH3+i', 'y(GKQ)-H2O-NH3+i', 'a(INN)-NH3+i', 'b(INS)-H2O+i', 'a(LNN)-NH3+i', 'b(LNS)-H2O+i', 'a(NQV)-NH3+i', 'b(NTV)-H2O+i', 'b(QSV)-H2O+i', 'a(MPP)', 'a(AM[Acetyl]V)-H2O', 'b(AIM)-H2O', 'b(ALM)-H2O', 'b(CIV)-H2O', 'b(CLV)-H2O', 'a(GIM[Acetyl])-H2O', 'a(GLM[Acetyl])-H2O', 'a(GL[Acetyl]M)-H2O', 'a(KMT)-H2O-NH3', 'a(M[Oxidation]PV)-H2O']
298.16941	23.4	5/85	0.9%	298.17031	3.02	a(ADR)-H2O+i	['a(ANR)-NH3+i', 'b(ARS)-H2O+i', 'a(EGR)-H2O+i', 'a(GQR)-NH3+i', 'b(GRT)-H2O+i']
298.17617	61.2	66/85	4.1%	298.17613	-0.13	b(AAL[Acetyl])	['a(DIP)', 'a(DLP)', 'a(EPV)', 'b(IPS)', 'b(LPS)', 'b(PTV)', 'y(AAL[Acetyl])-H2O', 'y(AKP)-NH3', 'a(DKV)-NH3', 'a(EIT)-H2O', 'a(ELT)-H2O', 'a(IQT)-NH3', 'b(ITT)-H2O', 'y(IPS)-H2O', 'b(KSV)-NH3', 'y(KSV)-H2O-NH3', 'a(LQT)-NH3', 'b(LTT)-H2O', 'y(LPS)-H2O', 'a(L[Acetyl]ST)-H2O', 'y(PTV)-H2O', 'a(CKK)-H2O-NH3+i']
298.18762	47.7	6/85	1.6%	298.18737	-0.84	a(KNT)-H2O	['a(KQS)-H2O', 'a(RSV)-NH3']
298.19237	12.3	1/85	1.0%	298.19139	-3.29	a(FPV)-H2O	[]
298.20164	55.4	2/85	1.1%	?	?	?	?
298.20587	18.5	1/85	0.8%	298.2067	2.78	a(APR)+i	['a(GKR)-NH3+i', 'a(RSV)-H2O+i']
298.21255	48.2	40/85	2.4%	298.21252	-0.1	a(AL[Acetyl]V)	['b(AII)', 'b(AIL)', 'b(ALL)', 'a(GIL[Acetyl])', 'a(GLL[Acetyl])', 'b(VVV)', 'y(AII)-H2O', 'y(AIL)-H2O', 'y(ALL)-H2O', 'a(IKT)-NH3', 'a(KLT)-NH3', 'y(VVV)-H2O']
298.2378	23.6	1/85	0.3%	?	?	?	?
298.3013	36.0	2/85	0.2%	?	?	?	?
298.6613	25.4	4/85	0.8%	?	?	?	?
298.66683	30.6	5/85	0.9%	?	?	?	?
298.6794	56.8	12/85	1.5%	?	?	?	?
298.68489	19.3	1/85	0.7%	?	?	?	?
298.69766	19.3	3/85	0.5%	?	?	?	?
298.82355	109.7	4/85	5.0%	?	?	?	?
298.85922	14.0	1/85	0.3%	?	?	?	?
298.87835	16.2	1/85	0.6%	?	?	?	?
299.01027	24.7	1/85	0.9%	?	?	?	?
299.02144	75.1	1/85	0.2%	?	?	?	?
299.02537	17.5	3/85	1.0%	?	?	?	?
299.04743	150.0	1/85	5.1%	?	?	?	?
299.06173	187.0	37/85	6.2%	299.06309	4.55	a(CCH)-NH3	[]
299.07965	19.2	4/85	1.7%	?	?	?	?
299.10017	4.6	4/85	0.6%	299.10019	0.07	b(C[Carbamidomethyl]H)+i	['b(CGH)+i', 'y(C[Carbamidomethyl]H)-H2O+i', 'y(CGH)-H2O+i']
299.10267	8.7	5/85	0.7%	299.10263	-0.13	b(EW)-NH3	['y(EW)-H2O-NH3', 'b(ADF)-H2O-NH3', 'b(EFG)-H2O-NH3']
299.1289	106.9	1/85	1.5%	299.12847	-1.44	b(C[Carbamidomethyl]R)-H2O	['b(CGR)-H2O']
299.13504	38.9	25/85	2.5%	299.135	-0.13	a(DNP)	['b(NPS)', 'a(DQT)-H2O', 'a(ENT)-H2O', 'a(EQS)-H2O', 'a(NQT)-NH3', 'b(NTT)-H2O', 'y(NPS)-H2O', 'a(QQS)-NH3', 'b(QST)-H2O', 'a(GHM)+i', 'a(CRT)-H2O-NH3+i', 'a(GM[Oxidation]R)-H2O-NH3+i']
299.13894	41.2	47/85	1.8%	299.13902	0.27	a(YY)	['b(AFP)-NH3', 'b(AVY)-H2O-NH3', 'y(AFP)-H2O-NH3', 'a(DFV)-H2O-NH3', 'b(FSV)-H2O-NH3', 'b(GIY)-H2O-NH3', 'b(GLY)-H2O-NH3', 'a(PTY)-H2O-NH3']
299.13703	31.3	1/85	2.3%	299.13657	-1.54	a(GHM)+i	['a(CRT)-H2O-NH3+i', 'a(GM[Oxidation]R)-H2O-NH3+i']
299.13508	47.1	1/85	2.6%	299.135	-0.27	a(DNP)	['b(NPS)', 'a(DQT)-H2O', 'a(ENT)-H2O', 'a(EQS)-H2O', 'a(NQT)-NH3', 'b(NTT)-H2O', 'y(NPS)-H2O', 'a(QQS)-NH3', 'b(QST)-H2O']
299.1398	23.8	2/85	1.7%	299.13902	-2.61	a(YY)	['b(AFP)-NH3', 'b(AVY)-H2O-NH3', 'y(AFP)-H2O-NH3', 'a(DFV)-H2O-NH3', 'b(FSV)-H2O-NH3', 'b(GIY)-H2O-NH3', 'b(GLY)-H2O-NH3', 'a(PTY)-H2O-NH3']
299.13757	20.4	1/85	2.3%	299.13657	-3.34	a(GHM)+i	['a(CRT)-H2O-NH3+i', 'a(GM[Oxidation]R)-H2O-NH3+i']
299.14192	19.5	2/85	0.8%	299.14239	1.57	a(AM[Acetyl]V)-NH3	['b(AIM)-NH3', 'b(ALM)-NH3', 'y(AIM)-H2O-NH3', 'y(ALM)-H2O-NH3', 'b(CIV)-NH3', 'b(CLV)-NH3', 'y(CIV)-H2O-NH3', 'y(CLV)-H2O-NH3', 'a(GIM[Acetyl])-NH3', 'a(GLM[Acetyl])-NH3', 'a(GL[Acetyl]M)-NH3', 'a(IM[Oxidation]T)-H2O-NH3', 'a(LM[Oxidation]T)-H2O-NH3', 'a(M[Oxidation]PV)-NH3', 'b(AEP)+i', 'b(ADK)-NH3+i', 'y(ADK)-H2O-NH3+i', 'y(AEP)-H2O+i', 'y(APQ)-NH3+i', 'a(DDI)-H2O+i', 'a(DDL)-H2O+i', 'a(DEV)-H2O+i', 'a(DIN)-NH3+i', 'a(DLN)-NH3+i', 'a(DQV)-NH3+i', 'b(DIS)-H2O+i', 'b(DLS)-H2O+i', 'b(DTV)-H2O+i', 'a(ENV)-NH3+i', 'b(EGK)-NH3+i', 'b(ESV)-H2O+i', 'y(EGK)-H2O-NH3+i', 'b(INS)-NH3+i', 'y(INS)-H2O-NH3+i', 'b(LNS)-NH3+i', 'y(LNS)-H2O-NH3+i', 'b(NTV)-NH3+i', 'y(NTV)-H2O-NH3+i', 'b(QSV)-NH3+i', 'y(QSV)-H2O-NH3+i']
299.13765	21.6	1/85	2.5%	299.13657	-3.61	a(GHM)+i	['a(CRT)-H2O-NH3+i', 'a(GM[Oxidation]R)-H2O-NH3+i', 'a(YY)', 'b(AFP)-NH3', 'b(AVY)-H2O-NH3', 'y(AFP)-H2O-NH3', 'a(DFV)-H2O-NH3', 'b(FSV)-H2O-NH3', 'b(GIY)-H2O-NH3', 'b(GLY)-H2O-NH3', 'a(PTY)-H2O-NH3']
299.14052	24.8	1/85	1.4%	?	?	?	?
299.13753	19.7	1/85	2.1%	299.13657	-3.21	a(GHM)+i	['a(CRT)-H2O-NH3+i', 'a(GM[Oxidation]R)-H2O-NH3+i', 'a(YY)', 'b(AFP)-NH3', 'b(AVY)-H2O-NH3', 'y(AFP)-H2O-NH3', 'a(DFV)-H2O-NH3', 'b(FSV)-H2O-NH3', 'b(GIY)-H2O-NH3', 'b(GLY)-H2O-NH3', 'a(PTY)-H2O-NH3']
299.15319	21.6	2/85	0.8%	299.15362	1.44	a(AC[Carbamidomethyl]I)-H2O	['a(AC[Carbamidomethyl]L)-H2O', 'a(CIQ)-H2O', 'a(CLQ)-H2O', 'b(GKM)-H2O', 'a(MNV)-H2O', 'y(AAH)+i', 'a(HST)+i', 'a(NNP)+i', 'a(ADR)-NH3+i', 'b(ARS)-NH3+i', 'y(ARS)-H2O-NH3+i', 'a(EGR)-NH3+i', 'b(GRT)-NH3+i', 'y(GRT)-H2O-NH3+i', 'a(NQT)-H2O+i', 'a(QQS)-H2O+i']
299.15883	28.4	5/85	0.7%	299.15835	-1.6	b(KW)-NH3+i	['y(KW)-H2O-NH3+i', 'b(AFP)-H2O+i', 'a(FNV)-H2O-NH3+i', 'b(FGK)-H2O-NH3+i', 'a(GVW)-NH3+i', 'y(AAL[Acetyl])-NH3', 'a(EIT)-NH3', 'a(ELT)-NH3', 'b(ITT)-NH3', 'y(IPS)-NH3', 'y(ITT)-H2O-NH3', 'b(LTT)-NH3', 'y(LPS)-NH3', 'y(LTT)-H2O-NH3', 'a(L[Acetyl]ST)-NH3', 'y(PTV)-NH3']
299.17141	99.8	78/85	4.5%	299.17138	-0.1	b(AIN)	['b(ALN)', 'b(AQV)', 'a(GL[Acetyl]N)', 'b(GIQ)', 'b(GLQ)', 'a(PQT)', 'y(AIN)-H2O', 'y(ALN)-H2O', 'y(AQV)-H2O', 'a(DKT)-H2O', 'a(EKS)-H2O', 'y(GIQ)-H2O', 'y(GLQ)-H2O', 'a(KNT)-NH3', 'a(KQS)-NH3', 'b(KST)-H2O']
299.17701	30.3	1/85	1.2%	?	?	?	?
299.17894	29.3	1/85	1.6%	299.17878	-0.53	a(IMV)-NH3	['a(LMV)-NH3', 'b(AAL[Acetyl])+i', 'a(DIP)+i', 'a(DLP)+i', 'a(EPV)+i', 'b(IPS)+i', 'b(LPS)+i', 'b(PTV)+i', 'y(AAL[Acetyl])-H2O+i', 'y(AKP)-NH3+i', 'a(DKV)-NH3+i', 'a(EIT)-H2O+i', 'a(ELT)-H2O+i', 'a(IQT)-NH3+i', 'b(ITT)-H2O+i', 'y(IPS)-H2O+i', 'b(KSV)-NH3+i', 'y(KSV)-H2O-NH3+i', 'a(LQT)-NH3+i', 'b(LTT)-H2O+i', 'y(LPS)-H2O+i', 'a(L[Acetyl]ST)-H2O+i', 'y(PTV)-H2O+i']
299.1827	61.8	5/85	2.0%	299.18262	-0.27	b(AAR)	['y(AAR)-H2O', 'a(RST)-H2O']
299.18939	33.8	1/85	1.2%	299.19001	2.07	a(CIK)-H2O	['a(CKL)-H2O', 'a(KNT)-H2O+i', 'a(KQS)-H2O+i', 'a(RSV)-NH3+i']
299.20062	76.6	5/85	1.7%	?	?	?	?
299.20781	28.4	28/85	1.8%	299.20777	-0.13	b(AKV)	['b(GIK)', 'b(GKL)', 'a(INV)', 'a(KPT)', 'a(LNV)', 'a(QVV)', 'y(AKV)-H2O', 'y(GIK)-H2O', 'y(GKL)-H2O', 'a(KKS)-NH3']
299.18261	84.5	1/85	2.2%	299.18262	0.03	b(AAR)	['y(AAR)-H2O', 'a(RST)-H2O']
299.20051	148.1	1/85	3.0%	?	?	?	?
299.20788	117.0	1/85	3.0%	?	?	?	?
299.21903	37.3	5/85	1.0%	299.219	-0.1	a(ARV)	['a(GIR)', 'a(GLR)']
