mz	intensity	ms runs	percentage	theoretical m/z	delta PPM	primary identification	other identifications
377.22001	11.7	6/85	1.3%	377.21833	-4.45	a(EFK)	['b(FKT)', 'a(IQY)', 'a(LQY)', 'y(FKT)-H2O']
377.22102	22.3	3/85	1.5%	377.22241	3.68	y(KQT)+i	[]
373.57731	37.4	1/85	0.0%	?	?	?	?
377.21746	21.7	1/85	2.5%	377.21833	2.31	a(EFK)	['b(FKT)', 'a(IQY)', 'a(LQY)', 'y(FKT)-H2O']
377.22011	21.9	1/85	1.9%	?	?	?	?
377.22213	46.4	1/85	1.7%	377.22375	4.29	a(HQR)-H2O+i	[]
375.42959	0.4	1/85	0.0%	?	?	?	?
377.22608	19.0	4/85	1.7%	377.22643	0.93	a(FL[Acetyl]T)+i	['y(FIP)+i', 'y(FLP)+i', 'b(IVY)+i', 'b(LVY)+i', 'y(FKV)-NH3+i', 'y(IVY)-H2O+i', 'y(LVY)-H2O+i', 'a(AC)+i+TMT']
377.21801	24.3	1/85	2.3%	377.21833	0.85	a(EFK)	['b(FKT)', 'a(IQY)', 'a(LQY)', 'y(FKT)-H2O']
377.2242	20.4	1/85	1.7%	377.22375	-1.19	a(HQR)-H2O+i	[]
377.23599	23.6	2/85	0.5%	377.23767	4.45	a(FKQ)+i	['a(HKL[Acetyl])-NH3+i', 'b(F)+TMT']
377.22697	20.1	1/85	1.9%	377.22643	-1.43	a(FL[Acetyl]T)+i	['y(FIP)+i', 'y(FLP)+i', 'b(IVY)+i', 'b(LVY)+i', 'y(FKV)-NH3+i', 'y(IVY)-H2O+i', 'y(LVY)-H2O+i']
377.22322	20.9	1/85	1.8%	377.22375	1.41	a(HQR)-H2O+i	['y(KQT)+i', 'y(KMV)', 'a(AC)+i+TMT']
377.25093	28.9	5/85	0.7%	?	?	?	?
377.25481	28.3	3/85	1.0%	377.25472	-0.24	a(IKY)	['a(KLY)']
377.25496	27.0	3/85	1.1%	377.25472	-0.64	a(IKY)	['a(KLY)']
377.26273	53.6	5/85	1.5%	?	?	?	?
377.26839	19.7	3/85	0.7%	?	?	?	?
377.35163	33.6	3/85	2.0%	?	?	?	?
377.69686	10.4	2/85	1.1%	?	?	?	?
377.70395	9.7	3/85	1.0%	?	?	?	?
377.71417	31.3	3/85	1.2%	?	?	?	?
377.71968	53.1	5/85	2.0%	?	?	?	?
377.7226	19.0	2/85	1.2%	?	?	?	?
377.698	9.2	1/85	0.7%	?	?	?	?
377.72137	22.0	1/85	1.8%	?	?	?	?
377.73214	8.6	3/85	0.4%	?	?	?	?
377.73736	15.0	4/85	1.4%	?	?	?	?
377.73907	95.4	1/85	1.4%	?	?	?	?
377.73682	19.6	1/85	1.8%	?	?	?	?
377.75056	17.3	3/85	0.5%	?	?	?	?
377.80588	26.6	3/85	1.1%	?	?	?	?
377.82616	18.6	1/85	1.3%	?	?	?	?
377.85152	38.5	2/85	1.8%	?	?	?	?
378.12957	20.9	11/85	0.9%	378.12958	0.03	b(DDF)	['y(DDF)-H2O', 'y(DFN)-NH3', 'a(CFM[Acetyl])-H2O', 'a(CDW)+i', 'b(CSW)+i', 'b(AC[Carbamidomethyl]Y)-H2O+i', 'b(CQY)-H2O+i', 'y(CSW)-H2O+i', 'a(C[Carbamidomethyl]DF)-H2O+i', 'a(C[Carbamidomethyl]FN)-NH3+i', 'b(C[Carbamidomethyl]FS)-H2O+i']
378.14099	12.8	1/85	0.7%	378.14105	0.16	y(DIM[Oxidation])-NH3+i	['y(DLM[Oxidation])-NH3+i', 'y(EM[Oxidation]V)-NH3+i', 'y(M[Acetyl]TT)-NH3+i', 'b(EEH)-H2O', 'b(EHQ)-NH3', 'b(C[Carbamidomethyl]HP)-H2O+i', 'a(HHM[Oxidation])-NH3+i']
378.16593	7.0	14/85	1.0%	378.16596	0.08	b(DVY)	['y(DFP)', 'a(EEF)', 'b(EFT)', 'y(DVY)-H2O', 'y(EFT)-H2O', 'y(FQT)-NH3', 'y(NVY)-NH3', 'a(AM[Oxidation]W)+i', 'a(C[Carbamidomethyl]FP)+i', 'a(MSW)+i', 'b(CKY)-H2O+i', 'a(C[Carbamidomethyl]VY)-H2O+i', 'a(FM[Oxidation]Q)-H2O+i', 'a(MQY)-H2O+i']
378.17727	11.3	3/85	0.9%	378.1772	-0.19	a(NQY)	['b(EHK)-NH3', 'y(GRY)-NH3', 'a(CRY)-H2O+i', 'b(AHW)-H2O+i', 'a(FHH)-NH3+i']
378.18042	4.4	7/85	1.2%	378.18057	0.4	y(AC[Carbamidomethyl]K)	['y(CKQ)', 'a(EFF)-H2O', 'a(FFQ)-NH3', 'b(FFT)-H2O', 'a(PYY)-H2O', 'y(DRS)+i']
378.19444	12.0	5/85	1.2%	378.19582	3.65	a(HIM[Acetyl])-H2O	['a(HLM[Acetyl])-H2O', 'a(HL[Acetyl]M)-H2O', 'b(GRY)+i', 'b(EHK)-H2O+i', 'y(GRY)-H2O+i', 'b(HKQ)-NH3+i']
378.19031	11.0	1/85	0.6%	378.18932	-2.62	b(FFV)-NH3+i	['y(C[Carbamidomethyl]VV)+i', 'a(EKM[Oxidation])+i', 'y(GKM[Acetyl])+i', 'y(IMN)+i', 'b(KM[Oxidation]T)+i', 'y(LMN)+i', 'y(MQV)+i', 'y(KM[Oxidation]T)-H2O+i', 'a(EHR)-NH3', 'b(HRT)-NH3']
378.20024	4.5	2/85	0.6%	378.20055	0.82	a(AFW)+i	['a(FFQ)-H2O+i']
378.20323	18.1	4/85	1.6%	378.20235	-2.33	a(EIY)	['a(ELY)', 'y(FGL[Acetyl])', 'b(ITY)', 'b(LTY)', 'a(L[Acetyl]SY)', 'y(PVY)', 'y(FKT)-NH3', 'y(ITY)-H2O', 'y(LTY)-H2O', 'a(FKM[Oxidation])-H2O+i', 'a(KMY)-H2O+i']
378.2148	20.9	5/85	2.0%	378.21358	-3.23	a(KNY)	[]
378.20113	16.5	1/85	1.3%	?	?	?	?
378.20955	20.7	1/85	1.0%	378.20896	-1.56	b(M[Oxidation])+i+TMT	['y(IVY)-NH3+i', 'y(LVY)-NH3+i', 'a(EHR)-H2O+i', 'a(HQR)-NH3+i', 'b(HRT)-H2O+i']
378.214	22.6	1/85	2.4%	?	?	?	?
378.21958	17.7	2/85	1.5%	378.21766	-5.08	y(RTT)+i	['a(FFK)-NH3', 'a(FIY)-H2O', 'a(FLY)-H2O']
378.2035	23.6	1/85	1.4%	?	?	?	?
378.20904	21.5	1/85	0.9%	378.20896	-0.21	b(M[Oxidation])+i+TMT	['a(EHR)-H2O+i', 'a(HQR)-NH3+i', 'b(HRT)-H2O+i', 'y(IVY)-NH3+i', 'y(LVY)-NH3+i']
378.21961	17.3	1/85	1.7%	?	?	?	?
378.22641	14.9	2/85	1.3%	378.22505	-3.6	y(KMV)+i	[]
378.24283	20.8	4/85	0.7%	378.24197	-2.27	b(F)+i+TMT	['a(HKR)-NH3+i']
378.25405	24.7	4/85	0.9%	?	?	?	?
378.2655	12.3	1/85	0.7%	?	?	?	?
378.28891	26.5	2/85	0.6%	?	?	?	?
378.35132	20.4	1/85	1.2%	?	?	?	?
378.48516	134.6	1/85	0.0%	?	?	?	?
377.73827	22.2	1/85	1.0%	?	?	?	?
378.2034	24.0	1/85	0.9%	378.20392	1.37	a(FKM[Oxidation])-H2O+i	['a(KMY)-H2O+i', 'a(EIY)', 'a(ELY)', 'y(FGL[Acetyl])', 'b(ITY)', 'b(LTY)', 'a(L[Acetyl]SY)', 'y(PVY)', 'y(FKT)-NH3', 'y(ITY)-H2O', 'y(LTY)-H2O']
378.21364	24.3	1/85	1.8%	378.21358	-0.16	a(KNY)	['a(HVW)-H2O+i']
378.22077	16.0	1/85	1.4%	378.22168	2.41	a(EFK)+i	['b(FKT)+i', 'a(IQY)+i', 'a(LQY)+i', 'y(FKT)-H2O+i']
378.22963	17.4	1/85	1.2%	?	?	?	?
378.24363	24.9	1/85	0.6%	378.24415	1.37	a(HKR)-NH3+i	['b(F)+i+TMT']
378.6744	37.3	2/85	1.1%	?	?	?	?
378.70399	19.3	1/85	0.6%	?	?	?	?
378.71108	14.8	3/85	1.2%	?	?	?	?
378.71164	14.0	2/85	1.4%	?	?	?	?
378.72411	16.2	3/85	1.4%	?	?	?	?
378.71138	14.2	1/85	1.4%	?	?	?	?
378.72729	13.4	1/85	1.1%	?	?	?	?
378.7351	37.4	5/85	1.5%	?	?	?	?
378.72302	11.3	1/85	1.2%	?	?	?	?
378.73508	32.4	1/85	1.5%	?	?	?	?
378.7434	12.1	3/85	1.1%	?	?	?	?
378.79046	18.4	2/85	0.5%	?	?	?	?
378.8144	32.5	1/85	1.7%	?	?	?	?
379.1612	7.2	16/85	0.8%	379.16279	4.19	a(CRY)-NH3+i	['b(CHL[Acetyl])-H2O+i', 'a(DQY)', 'a(ENY)', 'b(NTY)', 'b(QSY)', 'y(SSW)', 'y(NTY)-H2O', 'y(QSY)-H2O']
379.17246	14.8	16/85	1.1%	379.17268	0.58	y(CL[Acetyl]T)+i	['y(DIM)+i', 'y(DLM)+i', 'y(EMV)+i', 'y(GL[Acetyl]M[Oxidation])+i', 'y(M[Acetyl]SV)+i', 'y(KM[Oxidation]T)-NH3+i', 'a(HHM)+i']
379.19776	27.3	7/85	1.8%	379.1976	-0.42	a(DKY)	['y(FNV)', 'b(KSY)', 'y(KSY)-H2O', 'a(HIM[Acetyl])-H2O+i', 'a(HLM[Acetyl])-H2O+i', 'a(HL[Acetyl]M)-H2O+i']
379.19931	7.2	9/85	1.0%	379.19917	-0.37	a(HIM[Acetyl])-H2O+i	['a(HLM[Acetyl])-H2O+i', 'a(HL[Acetyl]M)-H2O+i', 'a(DKY)', 'y(FNV)', 'b(KSY)', 'y(KSY)-H2O']
379.2088	20.4	30/85	2.3%	379.20883	0.08	y(FGR)	['a(HL[Acetyl]N)', 'b(HIQ)', 'b(HLQ)', 'a(RSY)', 'y(HIQ)-H2O', 'y(HLQ)-H2O', 'y(IM[Oxidation]V)+i', 'y(LM[Oxidation]V)+i']
379.22339	20.4	1/85	0.7%	?	?	?	?
379.23434	21.5	7/85	1.9%	379.23398	-0.95	b(IL[Acetyl]Q)-H2O	['b(LL[Acetyl]Q)-H2O', 'a(L[Acetyl]L[Acetyl]N)-H2O']
379.24051	22.4	1/85	0.5%	379.24208	4.14	y(FIV)+i	['y(FLV)+i']
379.24533	50.5	11/85	2.5%	379.24522	-0.29	b(HIK)	['b(HKL)', 'y(HIK)-H2O', 'y(HKL)-H2O']
379.2843	14.6	2/85	0.4%	?	?	?	?
379.66616	32.6	1/85	2.4%	?	?	?	?
379.68454	17.8	1/85	0.6%	?	?	?	?
379.70141	20.2	1/85	0.6%	?	?	?	?
379.71933	41.0	5/85	1.4%	?	?	?	?
379.72489	22.8	3/85	0.9%	?	?	?	?
379.69827	6.2	1/85	0.5%	?	?	?	?
379.73066	47.2	4/85	2.5%	?	?	?	?
379.78516	40.8	1/85	1.0%	?	?	?	?
379.79131	28.4	4/85	1.0%	?	?	?	?
379.80515	36.8	4/85	1.7%	?	?	?	?
379.84116	34.8	4/85	2.2%	?	?	?	?
380.11307	44.8	6/85	1.4%	380.11308	0.03	a(CMM[Acetyl])	['a(MM[Oxidation]M[Oxidation])-H2O', 'b(AC[Carbamidomethyl]M[Oxidation])+i', 'b(CM[Oxidation]Q)+i', 'y(CC[Carbamidomethyl]P)+i', 'a(C[Carbamidomethyl]DM)+i', 'b(C[Carbamidomethyl]MS)+i', 'y(AC[Carbamidomethyl]M[Oxidation])-H2O+i', 'y(CM[Oxidation]Q)-H2O+i', 'y(C[Carbamidomethyl]MS)-H2O+i', 'y(CEE)', 'y(DDM)']
380.13919	7.6	1/85	0.6%	380.13894	-0.66	y(MM[Oxidation]V)-NH3+i	['b(C[Carbamidomethyl]HV)-NH3', 'a(DHM[Acetyl])-H2O', 'b(EHM)-H2O', 'a(HM[Acetyl]N)-NH3', 'b(HMQ)-NH3', 'b(HM[Acetyl]S)-H2O']
380.14539	10.6	11/85	0.8%	380.14523	-0.42	a(DEY)	['b(DTY)', 'b(ESY)', 'y(DTY)-H2O', 'y(ESY)-H2O', 'y(NTY)-NH3', 'y(QSY)-NH3', 'a(FMM[Oxidation])-H2O', 'a(MMY)-H2O', 'b(AC[Carbamidomethyl]F)+i', 'y(ACW)+i', 'b(CFQ)+i', 'y(AC[Carbamidomethyl]F)-H2O+i', 'b(CHL[Acetyl])-NH3+i', 'y(CFQ)-H2O+i', 'a(C[Carbamidomethyl]TY)-H2O+i', 'a(M[Oxidation]NY)-H2O+i']
380.15658	15.0	2/85	0.9%	380.15804	3.84	b(C[Carbamidomethyl]HV)-H2O+i	['a(HM[Acetyl]N)-H2O+i', 'b(HMQ)-H2O+i']
380.16772	6.3	1/85	0.7%	380.16769	-0.08	b(HNQ)	['y(HHS)', 'y(HNQ)-H2O', 'y(CEK)+i', 'y(C[Carbamidomethyl]IS)+i', 'y(C[Carbamidomethyl]LS)+i', 'y(C[Carbamidomethyl]TV)+i', 'y(MQT)+i', 'y(M[Oxidation]NV)+i', 'a(IM[Oxidation]M[Oxidation])', 'a(LM[Oxidation]M[Oxidation])', 'y(MMV)', 'a(EFF)-NH3+i', 'b(FFT)-NH3+i', 'a(PYY)-NH3+i', 'b(CHR)-H2O+i']
380.17092	38.8	1/85	1.3%	380.17172	2.1	a(HTW)-NH3	['b(HPY)-H2O', 'b(NPW)-H2O', 'y(FMV)-NH3+i', 'a(IM[Oxidation]Y)-NH3+i', 'a(LM[Oxidation]Y)-NH3+i', 'b(CHR)-H2O+i']
380.17459	6.8	1/85	0.6%	380.17509	1.32	a(HM[Acetyl]P)	['b(HIM[Oxidation])-H2O', 'b(HKM)-NH3', 'b(HLM[Oxidation])-H2O']
380.19292	24.0	35/85	2.7%	380.19285	-0.18	a(DHL[Acetyl])	['b(EHI)', 'b(EHL)', 'b(HL[Acetyl]S)', 'y(EHI)-H2O', 'y(EHL)-H2O', 'y(HIQ)-NH3', 'y(HLQ)-NH3', 'y(HL[Acetyl]S)-H2O', 'b(L[Acetyl]NQ)-H2O', 'a(CFR)+i', 'b(HKM)-H2O+i']
380.20529	18.3	2/85	1.8%	380.20497	-0.84	a(FIY)-NH3+i	['a(FLY)-NH3+i', 'y(KMT)+i', 'a(HMR)-H2O+i', 'b(HKN)', 'y(HKN)-H2O']
380.20818	17.6	2/85	1.7%	380.2081	-0.21	b(FHI)-H2O	['b(FHL)-H2O']
376.39439	0.0	1/85	0.0%	?	?	?	?
379.86555	50.6	1/85	0.1%	?	?	?	?
380.21053	18.7	1/85	1.5%	380.21218	4.34	y(FGR)+i	['a(HL[Acetyl]N)+i', 'b(HIQ)+i', 'b(HLQ)+i', 'a(RSY)+i', 'y(HIQ)-H2O+i', 'y(HLQ)-H2O+i']
380.2169	17.7	3/85	1.7%	380.218	2.89	y(FIT)	['y(FLT)', 'y(VVY)', 'a(DL[Acetyl]L[Acetyl])-H2O', 'b(EIL[Acetyl])-H2O', 'b(ELL[Acetyl])-H2O', 'b(IL[Acetyl]Q)-NH3', 'b(LL[Acetyl]Q)-NH3', 'a(L[Acetyl]L[Acetyl]N)-NH3', 'b(L[Acetyl]L[Acetyl]S)-H2O', 'a(FKM)+i']
380.22948	26.4	6/85	1.8%	380.22923	-0.66	y(HIK)-NH3	['y(HKL)-NH3', 'b(KL[Acetyl]N)-H2O']
380.19309	95.8	1/85	4.5%	380.19285	-0.63	a(DHL[Acetyl])	['b(EHI)', 'b(EHL)', 'b(HL[Acetyl]S)', 'y(EHI)-H2O', 'y(EHL)-H2O', 'y(HIQ)-NH3', 'y(HLQ)-NH3', 'y(HL[Acetyl]S)-H2O', 'b(L[Acetyl]NQ)-H2O', 'a(CFR)+i', 'b(HKM)-H2O+i']
380.20844	16.2	1/85	1.5%	380.2081	-0.89	b(FHI)-H2O	['b(FHL)-H2O']
380.20621	16.2	1/85	1.6%	380.20565	-1.47	a(HMR)-H2O+i	['a(FIY)-NH3+i', 'a(FLY)-NH3+i', 'y(KMT)+i']
380.20847	16.2	1/85	1.5%	?	?	?	?
380.21155	16.6	1/85	1.4%	380.21218	1.66	y(FGR)+i	['a(HL[Acetyl]N)+i', 'b(HIQ)+i', 'b(HLQ)+i', 'a(RSY)+i', 'y(HIQ)-H2O+i', 'y(HLQ)-H2O+i']
380.21689	14.9	1/85	1.9%	380.2162	-1.81	b(IPW)-H2O+i	['b(LPW)-H2O+i', 'y(FIT)', 'y(FLT)', 'y(VVY)', 'a(DL[Acetyl]L[Acetyl])-H2O', 'b(EIL[Acetyl])-H2O', 'b(ELL[Acetyl])-H2O', 'b(IL[Acetyl]Q)-NH3', 'b(LL[Acetyl]Q)-NH3', 'a(L[Acetyl]L[Acetyl]N)-NH3', 'b(L[Acetyl]L[Acetyl]S)-H2O', 'a(HNR)']
380.22901	27.6	1/85	2.5%	?	?	?	?
380.23489	29.2	1/85	1.2%	380.23325	-4.31	a(FFI)	['a(FFL)']
380.23837	12.7	3/85	1.1%	380.23733	-2.74	b(IL[Acetyl]Q)-H2O+i	['b(LL[Acetyl]Q)-H2O+i', 'a(L[Acetyl]L[Acetyl]N)-H2O+i']
380.23993	10.4	1/85	1.0%	380.24046	1.39	b(IQR)-H2O	['b(LQR)-H2O', 'a(L[Acetyl]NR)-H2O']
380.2659	14.9	2/85	0.5%	380.26562	-0.74	a(IL[Acetyl]R)-NH3	['a(LL[Acetyl]R)-NH3']
380.34117	33.7	3/85	1.9%	?	?	?	?
380.69065	26.2	3/85	0.6%	?	?	?	?
380.70877	24.9	1/85	1.0%	?	?	?	?
380.71206	10.5	2/85	0.9%	?	?	?	?
380.71706	9.2	1/85	0.8%	?	?	?	?
380.72717	21.8	3/85	1.0%	?	?	?	?
380.73258	29.2	2/85	0.9%	?	?	?	?
380.73804	39.4	6/85	2.7%	?	?	?	?
380.74527	13.9	1/85	0.6%	?	?	?	?
380.79587	22.2	2/85	0.8%	?	?	?	?
380.80363	52.8	2/85	1.2%	?	?	?	?
380.81607	44.8	2/85	1.0%	?	?	?	?
380.83352	22.8	1/85	1.6%	?	?	?	?
381.12086	25.6	5/85	1.5%	381.12272	4.88	b(CNY)	['b(C[Carbamidomethyl]GY)', 'y(CNY)-H2O', 'y(C[Carbamidomethyl]GY)-H2O', 'a(DHM[Acetyl])-NH3', 'b(EHM)-NH3', 'b(HM[Acetyl]S)-NH3']
381.13388	9.7	4/85	0.5%	381.13395	0.18	a(C[Carbamidomethyl]EH)-H2O	['a(C[Carbamidomethyl]HQ)-NH3', 'b(C[Carbamidomethyl]HT)-H2O', 'b(HM[Oxidation]N)-H2O', 'y(CCL[Acetyl])+i', 'a(EMM[Oxidation])+i', 'y(GMM[Acetyl])+i', 'b(MM[Oxidation]T)+i', 'a(M[Acetyl]M[Oxidation]S)+i', 'y(CKM[Oxidation])-NH3+i', 'y(MM[Oxidation]T)-H2O+i']
381.14034	3.8	1/85	0.6%	381.14205	4.49	b(C[Carbamidomethyl]HV)-NH3+i	['a(DHM[Acetyl])-H2O+i', 'b(EHM)-H2O+i', 'a(HM[Acetyl]N)-NH3+i', 'b(HMQ)-NH3+i', 'b(HM[Acetyl]S)-H2O+i']
381.15175	13.9	12/85	1.6%	381.15195	0.52	y(DM[Oxidation]V)+i	['y(EMT)+i', 'y(M[Acetyl]ST)+i', 'b(DHQ)', 'b(EHN)', 'y(DHQ)-H2O', 'y(EHN)-H2O', 'y(HNQ)-NH3', 'b(CHR)-NH3+i', 'a(C[Carbamidomethyl]HQ)-H2O+i']
381.17676	9.1	22/85	1.3%	381.17686	0.26	y(AQY)	['y(FNT)', 'y(FQS)', 'b(DL[Acetyl]Q)-H2O', 'b(EL[Acetyl]N)-H2O', 'y(EHI)-NH3', 'y(EHL)-NH3', 'y(HL[Acetyl]S)-NH3', 'b(L[Acetyl]NQ)-NH3', 'a(HM[Acetyl]P)+i', 'b(HIM[Oxidation])-H2O+i', 'b(HKM)-NH3+i', 'b(HLM[Oxidation])-H2O+i']
381.18831	35.9	5/85	2.0%	381.18833	0.05	y(IM[Oxidation]T)+i	['y(LM[Oxidation]T)+i', 'b(DHK)', 'y(HPQ)', 'y(DHK)-H2O', 'y(HKN)-NH3', 'a(C[Carbamidomethyl]HK)-H2O+i', 'a(HMR)-NH3+i']
381.20664	27.1	4/85	1.1%	381.20672	0.21	a(M[Acetyl]PR)-H2O	['b(HKN)+i', 'y(HKN)-H2O+i']
381.2133	28.5	31/85	2.6%	381.21325	-0.13	y(AKY)	['y(FKS)', 'b(L[Acetyl]PQ)', 'b(DKL[Acetyl])-H2O', 'b(KL[Acetyl]N)-NH3', 'y(L[Acetyl]PQ)-H2O', 'b(FHI)-H2O+i', 'b(FHL)-H2O+i']
381.22447	15.6	25/85	1.6%	381.22448	0.03	y(HKP)	['a(DL[Acetyl]R)-H2O', 'b(EIR)-H2O', 'b(ELR)-H2O', 'b(IQR)-NH3', 'b(LQR)-NH3', 'a(L[Acetyl]NR)-NH3', 'b(L[Acetyl]RS)-H2O']
381.23741	17.9	1/85	0.7%	381.2366	-2.12	a(FFI)+i	['a(FFL)+i', 'b(KNR)-H2O']
381.24293	16.8	1/85	0.8%	381.24381	2.31	b(IQR)-H2O+i	['b(LQR)-H2O+i', 'a(L[Acetyl]NR)-H2O+i']
381.24973	10.8	23/85	1.4%	381.24963	-0.26	b(KL[Acetyl]P)	['y(KL[Acetyl]P)-H2O']
381.26123	15.4	2/85	0.9%	381.26087	-0.94	a(L[Acetyl]PR)	['b(IKR)-NH3', 'b(KLR)-NH3']
381.27232	16.2	1/85	0.7%	381.2721	-0.58	a(IRR)-NH3	['a(LRR)-NH3']
380.50446	0.4	1/85	0.0%	?	?	?	?
381.69896	11.8	2/85	0.9%	?	?	?	?
381.70348	8.3	1/85	0.8%	?	?	?	?
381.71687	25.2	5/85	1.1%	?	?	?	?
381.72235	35.0	6/85	1.4%	?	?	?	?
381.73495	32.7	3/85	1.4%	?	?	?	?
381.74545	29.4	4/85	2.3%	?	?	?	?
381.75316	28.4	5/85	0.5%	?	?	?	?
381.80052	98.0	5/85	6.3%	?	?	?	?
382.00072	31.6	1/85	0.9%	?	?	?	?
382.0361	13.5	1/85	0.3%	?	?	?	?
382.11749	25.8	2/85	0.9%	382.11797	1.26	a(C[Carbamidomethyl]EH)-NH3	['b(C[Carbamidomethyl]HT)-NH3', 'b(HM[Oxidation]N)-NH3', 'y(MM[Oxidation]T)-NH3+i']
382.13586	13.8	8/85	0.6%	382.13572	-0.37	b(DEH)	['y(DHQ)-NH3', 'y(EHN)-NH3', 'a(C[Carbamidomethyl]EH)-H2O+i', 'a(C[Carbamidomethyl]HQ)-NH3+i', 'b(C[Carbamidomethyl]HT)-H2O+i', 'b(HM[Oxidation]N)-H2O+i']
382.17309	8.0	13/85	1.2%	382.17211	-2.56	y(EHP)	['y(DHK)-NH3', 'a(C[Carbamidomethyl]HK)-NH3+i']
382.18737	11.4	10/85	1.1%	382.18737	0.0	b(FHP)	['a(L[Acetyl]M[Acetyl]P)-NH3+i']
382.1921	16.5	2/85	0.8%	382.19144	-1.73	b(DHK)+i	['y(HPQ)+i', 'y(DHK)-H2O+i', 'y(HKN)-NH3+i', 'a(HM[Acetyl]V)', 'b(HIM)', 'b(HLM)', 'a(M[Acetyl]PR)-NH3']
382.19714	9.6	2/85	1.0%	382.19726	0.31	b(EL[Acetyl]P)	['y(ISY)', 'y(LSY)', 'y(TVY)', 'b(DKL[Acetyl])-NH3', 'y(L[Acetyl]PQ)-NH3', 'a(FFN)+i', 'b(PPW)+i', 'b(FHI)-NH3+i', 'b(FHL)-NH3+i', 'b(GL[Acetyl]W)-H2O+i', 'y(PPW)-H2O+i', 'b(KM[Acetyl]P)-H2O+i']
382.20858	18.1	29/85	2.5%	382.2085	-0.21	y(AHL[Acetyl])	['a(DL[Acetyl]R)-NH3', 'b(EIR)-NH3', 'b(ELR)-NH3', 'b(L[Acetyl]RS)-NH3', 'a(M[Acetyl]PR)-H2O+i']
382.21986	141.1	6/85	6.2%	382.21973	-0.34	b(PQR)	['b(KNR)-NH3']
382.23239	22.8	5/85	1.2%	382.23365	3.3	b(AL[Acetyl]L[Acetyl])	['y(KL[Acetyl]P)-NH3', 'b(IVW)-H2O+i', 'b(LVW)-H2O+i']
382.2381	33.0	4/85	0.9%	382.23906	2.51	b(KNR)-H2O+i	[]
382.2451	81.0	6/85	2.9%	382.24488	-0.58	y(HII)	['y(HIL)', 'y(HLL)']
382.25624	183.7	6/85	5.5%	382.25611	-0.34	b(KPR)	[]
382.34389	22.8	4/85	1.2%	?	?	?	?
382.70634	43.0	6/85	1.2%	?	?	?	?
382.71248	12.9	3/85	1.3%	?	?	?	?
382.72449	46.2	6/85	1.4%	?	?	?	?
382.73045	22.2	2/85	1.1%	?	?	?	?
382.74273	41.1	5/85	1.0%	?	?	?	?
382.74836	20.3	3/85	0.7%	?	?	?	?
382.75422	11.6	2/85	1.0%	?	?	?	?
382.74269	50.1	1/85	1.3%	?	?	?	?
382.7609	25.1	4/85	0.5%	?	?	?	?
382.80227	40.9	2/85	1.6%	?	?	?	?
382.80859	36.0	1/85	1.7%	?	?	?	?
382.95529	39.0	6/85	0.5%	?	?	?	?
383.14053	12.0	3/85	0.6%	383.13907	-3.81	b(DEH)+i	['y(DHQ)-NH3+i', 'y(EHN)-NH3+i']
383.15601	9.6	12/85	1.0%	383.15613	0.31	y(NSY)	['b(AHM[Acetyl])+i', 'b(HM[Oxidation]P)+i']
383.16768	25.5	5/85	1.2%	?	?	?	?
383.19245	24.0	31/85	2.4%	383.19409	4.28	a(HM[Acetyl]V)+i	['b(HIM)+i', 'b(HLM)+i', 'a(M[Acetyl]PR)-NH3+i']
383.20394	40.9	20/85	3.2%	383.20374	-0.52	b(EPR)	['y(HIN)', 'y(HLN)', 'y(HQV)']
383.21407	9.6	10/85	0.9%	383.21498	2.37	y(AHR)	['a(FVY)+i', 'b(IVW)-NH3+i', 'b(LVW)-NH3+i']
383.21513	27.5	1/85	0.5%	383.21498	-0.39	y(AHR)	['a(FVY)+i', 'b(IVW)-NH3+i', 'b(LVW)-NH3+i']
383.22236	35.8	1/85	1.8%	383.22308	1.88	b(PQR)+i	['b(KNR)-NH3+i']
383.22891	12.5	31/85	2.5%	383.2289	-0.03	b(IL[Acetyl]N)	['b(LL[Acetyl]N)', 'b(L[Acetyl]QV)']
383.23711	19.9	1/85	0.8%	383.237	-0.29	b(AL[Acetyl]L[Acetyl])+i	['y(KL[Acetyl]P)-NH3+i']
383.24015	58.9	4/85	1.7%	383.24013	-0.05	b(AL[Acetyl]R)	['y(HKV)']
383.2289	65.6	1/85	4.8%	383.2289	0.0	b(IL[Acetyl]N)	['b(LL[Acetyl]N)', 'b(L[Acetyl]QV)']
383.24264	15.7	6/85	1.4%	?	?	?	?
383.22867	56.2	1/85	3.4%	383.2289	0.6	b(IL[Acetyl]N)	['b(LL[Acetyl]N)', 'b(L[Acetyl]QV)']
383.24038	27.3	1/85	1.3%	383.24013	-0.65	b(AL[Acetyl]R)	['y(HKV)']
383.25291	16.9	1/85	0.6%	?	?	?	?
383.25937	12.9	5/85	1.3%	383.25946	0.23	b(KPR)+i	[]
383.26536	18.9	10/85	1.0%	383.26528	-0.21	b(KL[Acetyl]V)	[]
383.27677	90.0	6/85	2.5%	383.27652	-0.65	b(IIR)	['b(ILR)', 'b(LLR)', 'a(L[Acetyl]RV)']
383.7044	7.9	1/85	0.8%	?	?	?	?
383.71076	11.3	3/85	0.5%	?	?	?	?
383.71417	29.2	4/85	1.2%	?	?	?	?
383.72006	29.6	4/85	1.4%	?	?	?	?
383.72229	13.3	1/85	1.2%	?	?	?	?
383.73244	27.1	6/85	1.2%	?	?	?	?
383.73793	34.0	6/85	1.4%	?	?	?	?
