mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
183.11282	92.7	5/5	27.4%	183.1128	-0.11	b(AK)-NH3	a(DI)-H2O, a(DL)-H2O, a(EV)-H2O, a(IN)-NH3, b(IS)-H2O, a(LN)-NH3, b(LS)-H2O, a(QV)-NH3, b(TV)-H2O, a(AGV)-NH3, a(GGI)-NH3, a(GGL)-NH3, y(AK)-H2O-NH3	
183.14922	79.7	5/5	19.0%	183.14919	-0.16	a(IP)	a(LP), a(KV)-NH3	
184.10806	15.4	3/5	4.9%	184.10805	-0.05	a(NP)	a(GGP), a(QT)-H2O, a(AAS)-H2O, a(AGT)-H2O	
185.0557	22.9	3/5	8.0%	185.05568	-0.11	a(DD)-H2O	a(DN)-NH3, b(DS)-H2O, b(NS)-NH3, a(DGG)-NH3, b(GGS)-NH3, y(NS)-H2O-NH3, y(GGS)-H2O-NH3	
185.09205	75.1	5/5	21.8%	185.09207	0.11	a(DP)	b(PS), a(ET)-H2O, y(PS)-H2O, a(QT)-NH3, b(TT)-H2O, a(AAS)-NH3, a(AGT)-NH3	
185.12848	69.5	5/5	19.3%	185.12845	-0.16	b(AI)	b(AL), y(AI)-H2O, y(AL)-H2O, a(KT)-NH3, a(GL[Acetyl])	
185.16486	142.0	5/5	23.3%	185.16484	-0.11	a(IV)	a(LV)	
186.08733	41.9	4/5	13.0%	186.08732	-0.05	b(AN)	b(GQ), b(AGG), y(AN)-H2O, y(GQ)-H2O, y(AGG)-H2O, a(GSS)-H2O	
186.12371	37.7	5/5	13.1%	186.1237	-0.05	b(GK)	a(NV), a(AAA), a(GGV), y(GK)-H2O	
186.16828	11.1	3/5	4.3%	186.16819	-0.48	a(IV)+i	a(LV)+i	
187.07131	55.0	5/5	14.8%	187.07133	0.11	b(AD)	b(EG), y(AD)-H2O, y(AN)-NH3, y(EG)-H2O, y(GQ)-NH3, y(AGG)-NH3, a(GSS)-NH3	
187.08666	19.4	4/5	4.0%	187.08659	-0.37	IW+CO	b(W), b(WW)^2, y(W)-H2O, b(FG)-H2O, y(WW)-H2O^2, b(FGW)-H2O^2, a(C[Carbamidomethyl]RT)-NH3^2, a(DM[Oxidation]R)-H2O^2, a(M[Oxidation]NR)-NH3^2, b(M[Oxidation]RS)-H2O^2	IMM
187.1077	68.6	5/5	19.0%	187.10772	0.11	y(AP)	a(DV), b(SV), y(GK)-NH3, y(SV)-H2O	
187.14411	118.6	5/5	21.4%	187.1441	-0.05	a(IT)	a(LT), y(IIK)^2, y(IKL)^2, y(KLL)^2	
189.08695	29.0	5/5	10.4%	189.08698	0.16	a(DT)	a(ES), b(ST), y(ST)-H2O	
191.08153	7.6	3/5	2.2%	191.0815	-0.16	b(PQ)-H2O-NH3	b(AGP)-H2O-NH3, b(DPW)-H2O^2, a(EQW)-H2O-NH3^2, b(HPY)-NH3^2, y(HPY)-H2O-NH3^2, b(NPW)-NH3^2, y(NPW)-H2O-NH3^2, b(QTW)-H2O-NH3^2	
191.08483	7.7	4/5	2.4%	191.08488	0.26	a(MS)	a(AM[Oxidation]), y(GN)+i, y(GGG)+i	
191.11789	17.9	5/5	5.0%	191.11789	0.0	a(AF)	b(KP)-H2O-NH3, a(GPV)-H2O-NH3, b(IVW)-H2O^2, b(LVW)-H2O^2	
193.09719	22.6	5/5	4.3%	193.09715	-0.21	a(GY)	b(IN)-H2O-NH3, b(LN)-H2O-NH3, b(QV)-H2O-NH3, a(APS)-H2O-NH3, b(AGV)-H2O-NH3, a(GPT)-H2O-NH3, b(GGI)-H2O-NH3, b(GGL)-H2O-NH3	
195.07626	29.4	3/5	11.7%	195.07642	0.82	b(DP)-H2O	b(NP)-NH3, b(GGP)-NH3, a(EQ)-H2O-NH3, y(NP)-H2O-NH3, b(QT)-H2O-NH3, a(AAD)-H2O-NH3, a(AEG)-H2O-NH3, b(AAS)-H2O-NH3, b(AGT)-H2O-NH3, y(GGP)-H2O-NH3	
195.08771	20.5	5/5	7.4%	195.08765	-0.31	b(GH)	y(GH)-H2O	
195.11272	10.7	3/5	5.7%	195.1128	0.41	b(PP)	y(PP)-H2O, a(AAP)-NH3, a(EK)-H2O-NH3, b(KT)-H2O-NH3, a(ASV)-H2O-NH3, a(GIS)-H2O-NH3, a(GLS)-H2O-NH3, a(GTV)-H2O-NH3, b(GL[Acetyl])-H2O	
196.14446	8.2	3/5	3.8%	196.14444	-0.1	a(IQ)-H2O	a(LQ)-H2O, a(AAV)-H2O, a(AGI)-H2O, a(AGL)-H2O	
197.12849	115.7	5/5	31.8%	197.12845	-0.2	b(PV)	a(EI)-H2O, a(EL)-H2O, a(IQ)-NH3, b(IT)-H2O, a(LQ)-NH3, b(LT)-H2O, y(PV)-H2O, a(AAV)-NH3, a(AGI)-NH3, a(AGL)-NH3, a(L[Acetyl]S)-H2O	
197.16471	6.7	3/5	3.4%	197.16484	0.66	a(IK)-NH3	a(KL)-NH3	
198.08731	20.8	5/5	6.3%	198.08732	0.05	b(EHQ)^2	a(DQ)-H2O, a(EN)-H2O, a(NQ)-NH3, b(NT)-H2O, b(QS)-H2O, a(ADG)-H2O, a(AGN)-NH3, b(AGS)-H2O, a(EGG)-H2O, y(EHQ)-H2O^2, a(GGQ)-NH3, b(GGT)-H2O, y(HQQ)-NH3^2	
198.12374	10.3	4/5	4.3%	198.1237	-0.2	a(PQ)	a(AGP), a(DK)-H2O, a(KN)-NH3, b(KS)-H2O, a(AAT)-H2O, a(GGK)-NH3, a(GSV)-H2O, y(HKK)-NH3^2	
198.13165	4.3	3/5	3.1%	198.1318	0.76	b(PV)+i	a(EI)-H2O+i, a(EL)-H2O+i, a(IQ)-NH3+i, b(IT)-H2O+i, a(LQ)-NH3+i, b(LT)-H2O+i, y(PV)-H2O+i, a(AAV)-NH3+i, a(AGI)-NH3+i, a(AGL)-NH3+i, a(L[Acetyl]S)-H2O+i	
199.07133	23.7	5/5	13.5%	199.07133	0.0	a(DE)-H2O	a(DQ)-NH3, b(DT)-H2O, a(EN)-NH3, b(ES)-H2O, b(NT)-NH3, b(QS)-NH3, a(ADG)-NH3, b(AGS)-NH3, a(EGG)-NH3, b(GGT)-NH3, y(NT)-H2O-NH3, y(QS)-H2O-NH3, y(AGS)-H2O-NH3, y(GGT)-H2O-NH3, a(SSS)-H2O-NH3	
199.10771	43.7	5/5	13.2%	199.10772	0.05	a(EP)	b(PT), a(DK)-NH3, b(KS)-NH3, y(PT)-H2O, a(AAT)-NH3, a(GSV)-NH3, y(KS)-H2O-NH3	
199.14411	22.2	4/5	9.5%	199.1441	-0.05	b(VV)	y(VV)-H2O, a(AL[Acetyl])	
199.18053	100.0	5/5	20.9%	199.18049	-0.2	a(II)	a(IL), a(LL)	
200.10298	28.1	5/5	8.2%	200.10297	-0.05	b(AQ)	b(AAG), y(AQ)-H2O, a(ASS)-H2O, y(AAG)-H2O, a(GST)-H2O	
200.13933	55.2	5/5	17.8%	200.13935	0.1	b(AK)	a(IN), a(LN), a(QV), a(AGV), a(GGI), a(GGL), y(AK)-H2O	
201.08701	42.8	5/5	11.8%	201.08698	-0.15	b(AE)	y(AE)-H2O, y(AQ)-NH3, a(ASS)-NH3, y(AAG)-NH3, a(GST)-NH3	
201.12338	246.5	5/5	44.0%	201.12337	-0.05	a(DI)	a(DL), a(EV), b(IS), b(LS), b(TV), y(AK)-NH3, y(IS)-H2O, y(LS)-H2O, y(TV)-H2O	
202.08226	16.0	4/5	6.0%	202.08223	-0.15	a(DN)	b(NS), a(DGG), b(GGS), y(NS)-H2O, y(GGS)-H2O	
202.12657	13.6	3/5	7.8%	202.12672	0.74	a(DI)+i	a(DL)+i, a(EV)+i, b(IS)+i, b(LS)+i, b(TV)+i, y(AK)-NH3+i, y(IS)-H2O+i, y(LS)-H2O+i, y(TV)-H2O+i	
203.06621	13.9	4/5	5.5%	203.06625	0.2	a(DD)	b(DS), y(DS)-H2O, y(NS)-NH3, y(GGS)-NH3	
203.08484	11.5	3/5	3.8%	203.08488	0.2	b(AM)	b(CV), y(AM)-H2O, y(CV)-H2O, a(GM[Acetyl]), a(M[Oxidation]T)-H2O, a(DN)+i, b(NS)+i, a(DGG)+i, b(GGS)+i, y(NS)-H2O+i, y(GGS)-H2O+i	
203.1026	28.4	5/5	8.4%	203.10263	0.15	a(ET)	y(PS), b(TT), y(TT)-H2O	
203.1212	17.4	3/5	3.0%	203.12126	0.3	a(MV)	a(QT)+i, a(AAS)+i, a(AGT)+i	
204.13432	44.6	5/5	15.2%	204.13427	-0.24	y(GK)		
205.09722	17.9	4/5	4.7%	205.09715	-0.34	y(W)	b(FG), b(FFN)^2, y(FGW)^2, a(SWY)^2, y(FG)-H2O, a(SY)-H2O, b(AAP)-H2O-NH3, b(EKW)-H2O-NH3^2, y(FFN)-H2O^2, a(QYY)-H2O^2, y(M[Oxidation]RS)^2	
207.11282	65.1	5/5	13.4%	207.1128	-0.1	a(AY)	a(FS), a(GPP)-NH3, b(IQ)-H2O-NH3, b(LQ)-H2O-NH3, a(APT)-H2O-NH3, b(AAV)-H2O-NH3, b(AGI)-H2O-NH3, b(AGL)-H2O-NH3, a(L[Acetyl]N)-H2O-NH3, a(GGL[Acetyl])-H2O-NH3	
209.09192	23.4	3/5	9.5%	209.09207	0.72	b(EP)-H2O	b(PQ)-NH3, b(AGP)-NH3, b(DK)-H2O-NH3, y(PQ)-H2O-NH3, a(AAE)-H2O-NH3, b(AAT)-H2O-NH3, y(AGP)-H2O-NH3, a(DGV)-H2O-NH3, b(GSV)-H2O-NH3, a(PSS)-H2O-NH3	
209.10345	22.3	3/5	23.3%	209.1033	-0.72	b(AH)	y(AH)-H2O, a(DR)-H2O-NH3, b(RS)-H2O-NH3	
209.13975	28.9	4/5	7.6%	209.13969	-0.29	a(HV)	a(PR)-NH3	
211.10766	18.9	5/5	6.8%	211.10772	0.28	b(DI)-H2O	b(DL)-H2O, b(EV)-H2O, b(IN)-NH3, b(LN)-NH3, b(QV)-NH3, a(APS)-NH3, b(AGV)-NH3, a(GPT)-NH3, b(GGI)-NH3, b(GGL)-NH3, y(IN)-H2O-NH3, y(LN)-H2O-NH3, y(QV)-H2O-NH3, a(ATT)-H2O-NH3, y(AGV)-H2O-NH3, y(GGI)-H2O-NH3, y(GGL)-H2O-NH3, a(SSV)-H2O-NH3	
211.14407	47.4	5/5	13.4%	211.1441	0.14	b(IP)	b(LP), y(IP)-H2O, b(KV)-NH3, y(KV)-H2O-NH3, y(LP)-H2O, a(AAI)-NH3, a(AAL)-NH3, a(GVV)-NH3	
212.10294	52.5	5/5	16.7%	212.10297	0.14	b(NP)	b(GGP), a(EQ)-H2O, y(NP)-H2O, a(QQ)-NH3, b(QT)-H2O, a(AAD)-H2O, a(AAN)-NH3, a(AEG)-H2O, a(AGQ)-NH3, b(AAS)-H2O, b(AGT)-H2O, y(GGP)-H2O	
213.08694	39.2	5/5	17.1%	213.08698	0.19	b(DP)	y(DP)-H2O, a(EE)-H2O, a(EQ)-NH3, b(ET)-H2O, y(NP)-NH3, b(QT)-NH3, a(AAD)-NH3, a(AEG)-NH3, b(AAS)-NH3, b(AGT)-NH3, y(GGP)-NH3, y(QT)-H2O-NH3, y(AAS)-H2O-NH3, y(AGT)-H2O-NH3, a(SST)-H2O-NH3	
